dataset,method,seed,n_samples,n_context,n_behavior,anomaly_rate,auroc,auprc,nan_rate,runtime_sec,timestamp
ionosphere,CVAE,456,351,16,17,0.7368421052631579,0.8846560846560847,0.9565653503910584,0.0,0.5492119789123535,2026-02-02T23:47:37.063425
ionosphere,CWAE-MMD-IF,456,351,16,17,0.7368421052631579,0.9047619047619048,0.9646459955283588,0.0,0.941490888595581,2026-02-02T23:47:38.013641
ionosphere,CWAE-MMD-CRPS,456,351,16,17,0.7368421052631579,0.901410934744268,0.962571354874874,0.0,1.0010974407196045,2026-02-02T23:47:39.022956
ionosphere,CWAE-MMD-Huber,456,351,16,17,0.7368421052631579,0.9077601410934744,0.9642778165470116,0.0,1.0064682960510254,2026-02-02T23:47:40.038153
ionosphere,CWAE-MMD-DIF-Dual,456,351,16,17,0.7368421052631579,0.8753086419753087,0.94096293598045,0.0,3.140028238296509,2026-02-02T23:47:43.186999
ionosphere,CWAE-MMD-IF-Dual,456,351,16,17,0.7368421052631579,0.837389770723104,0.9131046337390374,0.0,1.130176305770874,2026-02-02T23:47:44.328668
ionosphere,CWAE-MMD-IF-Latent,456,351,16,17,0.7368421052631579,0.6377425044091711,0.7557640640912062,0.0,1.0613222122192385,2026-02-02T23:47:45.398687
pima,IF,42,768,4,4,0.7282608695652174,0.7203358208955223,0.8678537121470342,0.0,0.2256815433502197,2026-02-02T23:47:45.633136
pima,IF-concat,42,768,4,4,0.7282608695652174,0.8052985074626865,0.8931930770734048,0.0,0.1945979595184326,2026-02-02T23:47:45.835715
pima,DIF,42,768,4,4,0.7282608695652174,0.772723880597015,0.8746125279830113,0.0,1.2300724983215332,2026-02-02T23:47:47.076217
pima,CVAE,42,768,4,4,0.7282608695652174,0.6918283582089553,0.8680453568520128,0.0,0.9430036544799804,2026-02-02T23:47:48.029812
pima,CWAE-MMD-IF,42,768,4,4,0.7282608695652174,0.7297388059701493,0.8912763431309114,0.0,1.8221328258514404,2026-02-02T23:47:49.861416
pima,CWAE-MMD-CRPS,42,768,4,4,0.7282608695652174,0.775223880597015,0.906935135285082,0.0,2.042569875717163,2026-02-02T23:47:51.912562
pima,CWAE-MMD-Huber,42,768,4,4,0.7282608695652174,0.7447388059701493,0.8950453324452066,0.0,1.7996923923492432,2026-02-02T23:47:53.720638
pima,CWAE-MMD-DIF-Dual,42,768,4,4,0.7282608695652174,0.7411940298507462,0.8814839780671497,0.0,4.052180767059326,2026-02-02T23:47:57.781360
pima,CWAE-MMD-IF-Dual,42,768,4,4,0.7282608695652174,0.7350373134328357,0.881659803255942,0.0,1.9697895050048828,2026-02-02T23:47:59.763153
pima,CWAE-MMD-IF-Latent,42,768,4,4,0.7282608695652174,0.6878358208955224,0.8418669852083555,0.0,1.969224214553833,2026-02-02T23:48:01.740998
pima,IF,123,768,4,4,0.7282608695652174,0.5987686567164179,0.7794489619220677,0.0,0.1733760833740234,2026-02-02T23:48:01.922154
pima,IF-concat,123,768,4,4,0.7282608695652174,0.6782462686567166,0.8226145288677587,0.0,0.1975109577178955,2026-02-02T23:48:02.127446
pima,DIF,123,768,4,4,0.7282608695652174,0.6792910447761195,0.8077393233151486,0.0,1.093252182006836,2026-02-02T23:48:03.229246
pima,CVAE,123,768,4,4,0.7282608695652174,0.6172014925373134,0.8061981417558124,0.0,0.9339423179626464,2026-02-02T23:48:04.173058
pima,CWAE-MMD-IF,123,768,4,4,0.7282608695652174,0.6519029850746267,0.8263349327727734,0.0,1.9548795223236084,2026-02-02T23:48:06.137319
pima,CWAE-MMD-CRPS,123,768,4,4,0.7282608695652174,0.6749626865671642,0.831402658169122,0.0,1.8764939308166504,2026-02-02T23:48:08.023437
